student_id,course_id,final_grade,gender,course_interest,perceived_competence,utility_value,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
43146,FrScA-S216-02,93.4537246,M,5,4.5,4.333333333,5,4,4,5,5,5,5,5,4,5
44638,OcnA-S116-01,81.70184255,F,4.2,3.5,4,4,4,3,4,4,4,4,5,4,4
47448,FrScA-S216-01,88.48758465,M,5,4,3.666666667,5,4,4,5,5,4,4,5,3,5
47979,OcnA-S216-01,81.85259631,M,5,3.5,5,5,5,3,5,5,5,4,5,5,5
48797,PhysA-S116-01,84,F,3.8,3.5,3.5,4,3,3,4,4,4,4,4,NA,3
51943,FrScA-S216-03,NA,F,4.6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52326,AnPhA-S216-01,83.5882656,M,5,3.5,5,5,5,3,5,5,5,4,5,5,5
52446,PhysA-S116-01,97.77777778,F,3,3,3.333333333,3,3,3,3,3,4,3,3,3,3
53447,FrScA-S116-01,96.11872146,F,4.2,3,2.666666667,4,3,3,4,4,3,3,4,2,5
53475,FrScA-S116-02,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53475,FrScA-S216-01,81.03837472,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54066,OcnA-S116-01,93.90452261,M,4.4,4,5,4,5,3,5,5,5,5,4,5,4
54282,OcnA-S116-02,93.40033501,F,3.4,3,2.666666667,3,3,3,3,4,3,3,3,2,4
54342,OcnA-S116-02,64.78224456,F,4.7,4.5,3.833333333,5,3,5,5,5,5,5,5,2,5
54346,OcnA-S116-01,51.0921273,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54434,PhysA-S116-01,93.0625,F,4,3,3,4,2,2,4,4,4,4,4,2,4
54567,OcnA-S216-02,65.84254606,F,4.2,4,4,4,4,3,5,4,4,5,4,4,4
55078,FrScA-S216-01,97.74266366,F,4.2,3.5,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55140,PhysA-S116-01,73.78472222,F,3.8,3,2.666666667,4,3,3,4,4,3,3,4,2,3
55283,FrScA-S116-01,NA,F,3.8,3.5,2.833333333,4,2,3,4,3,3,3,4,3,4
56152,AnPhA-S116-02,94.1248,F,4,4,2.666666667,3,2,4,4,5,3,4,5,3,3
57188,AnPhA-S116-02,80.7344,F,4.3,4,4.166666667,3,4,3,5,4,4,4,3,3,3
57188,FrScA-S216-01,76.9751693,F,4.3,4,4.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57224,FrScA-S116-03,87.09360731,F,4.6,3.75,3.333333333,4,2,3,5,5,4,3,5,3,4
57489,PhysA-S116-01,94.79166667,F,3.6,2.5,3.333333333,3,2,2,4,4,4,3,4,4,3
57981,OcnA-S116-01,66.69011725,F,4.2,3,3.666666667,4,4,3,4,4,4,3,5,3,4
58168,AnPhA-S216-01,96.5216,F,5,5,4.666666667,5,5,5,NA,5,5,5,5,4,5
58178,OcnA-S116-01,92.68174204,F,4,3,4,4,4,2,4,4,4,4,4,4,4
60186,AnPhA-S116-01,86.272,F,5,5,4.666666667,5,4,5,5,5,5,5,5,5,5
61357,FrScA-S116-02,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61941,FrScA-S116-01,94.29223744,M,4,3.5,3.333333333,4,3,3,4,4,4,4,4,3,4
61965,BioA-S116-01,77.65698925,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62157,FrScA-S116-02,70.62100457,F,4.5,3.5,3.333333333,5,3,3,5,4,3,4,5,3,5
62175,OcnA-S216-01,73.77386935,M,4,4,3.333333333,5,3,4,4,4,3,4,4,4,3
62576,PhysA-S116-01,94.44444444,M,3.4,3,2.666666667,3,4,2,4,3,3,4,3,1,4
62752,PhysA-S116-01,93.77777778,F,4.2,2.5,2.333333333,4,3,3,5,3,3,2,4,1,5
62754,PhysA-S116-01,96.34027778,F,3.7,2.5,3,4,3,2,4,3,3,2,3,1,2
64930,FrScA-T116-01,83.23287671,F,4,3,3.666666667,4,3,3,4,4,4,3,4,4,4
65116,FrScA-S216-01,93.22799097,M,4.8,4.25,3.833333333,5,4,4,5,5,4,5,5,5,5
65627,AnPhA-S116-02,81.4872,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66508,AnPhA-T116-01,NA,F,4,3,4.333333333,4,4,3,4,4,5,3,4,4,4
66508,PhysA-T116-01,93.88888889,M,4,3,4.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66689,FrScA-S216-01,98.64559819,M,4.5,3.75,3.5,4,4,3,4,4,4,4,4,3,4
66693,AnPhA-S116-01,93.7536,F,3.8,3.25,3.166666667,4,3,2,4,4,4,4,4,3,4
66740,OcnA-S116-01,99.32998325,M,5,4.5,3.666666667,5,2,4,5,5,4,5,5,5,5
66811,AnPhA-S116-01,91.2016,F,3.8,2.5,4,4,3,2,4,3,5,3,4,4,4
66862,AnPhA-S116-01,59.8197328,F,4,3,3.666666667,4,3,2,4,4,4,4,4,4,4
67013,AnPhA-S216-01,46.072,F,3.3,4.25,2.333333333,4,3,4,4,3,3,5,4,3,3
67102,PhysA-S216-01,89.86111111,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67463,FrScA-S216-01,91.4221219,M,4.2,3,3.666666667,4,3,3,4,4,4,3,4,4,5
67508,AnPhA-S116-01,83.8149328,F,3.8,3.5,3.333333333,4,3,3,4,4,4,4,4,3,3
67762,FrScA-S116-02,83.41324201,M,4,3,3.666666667,4,3,2,4,4,4,4,4,4,4
67920,OcnA-S116-01,90.70351759,F,5,4.5,4,5,4,4,5,5,4,5,5,4,5
68022,OcnA-S216-01,90.95979899,F,4.4,3,2.666666667,4,3,1,5,3,3,5,5,2,5
68188,FrScA-S116-01,92.46575342,F,5,4.5,5,5,5,4,5,5,5,5,5,5,5
68476,OcnA-S116-02,94.57956449,F,3.7,3.5,4,4,4,2,2,3,4,4,4,4,4
68598,BioA-S116-01,87.24408602,M,3.2,3,2.333333333,4,3,2,2,4,2,4,4,2,2
68768,FrScA-S116-02,64.76027397,F,4.6,4.5,4.666666667,4,5,4,5,4,5,5,5,4,5
68795,FrScA-S216-01,83.06997743,M,4.1,3.75,3.333333333,4,4,4,5,4,4,5,5,4,4
69072,FrScA-S116-01,93.60730594,F,4.4,3.5,3.666666667,5,3,3,5,4,4,4,4,4,4
69182,FrScA-S216-01,91.19638826,F,5,4.5,4.333333333,5,4,4,5,5,4,5,5,5,5
69397,FrScA-S216-01,94.69525959,F,4.1,3.25,3.333333333,4,4,3,4,4,5,3,5,3,5
69544,FrScA-S216-04,93.17155756,F,5,3.5,4.333333333,5,4,3,5,5,4,4,5,5,5
69743,AnPhA-S216-01,85.4714656,M,4.3,4,4,5,4,5,5,4,4,5,4,4,5
69937,BioA-S116-01,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70037,FrScA-S116-01,93.37899543,F,2.4,3,3,3,3,3,1,3,4,3,2,2,3
70068,FrScA-S116-03,95.37671233,F,5,5,5,5,5,5,5,5,5,5,5,5,5
70187,PhysA-S216-01,78.125,F,3.6,2.5,2.666666667,4,3,2,4,3,3,3,4,2,3
70192,AnPhA-S116-02,95.96,F,4.4,3,2.666666667,4,3,3,4,4,3,3,5,2,5
70408,BioA-S116-01,91.50537634,F,3.8,3.5,3.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70532,AnPhA-S116-01,93.64,F,4.2,3.5,3.833333333,4,4,3,4,4,4,3,4,4,5
70681,BioA-S116-01,90.23655914,F,3.8,3.666666667,4.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71110,FrScA-S216-01,88.71331828,F,5,3.5,3.333333333,5,3,3,5,5,3,4,5,4,5
71415,FrScA-S216-01,14.4469526,F,5,4.75,4.166666667,5,2,4,5,5,4,5,5,5,5
71434,BioA-S116-01,83.96021505,F,4.6,3.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71725,AnPhA-S216-01,77.2789328,F,4.8,4,4.666666667,5,5,4,5,5,5,4,5,4,4
72287,FrScA-T116-01,90.86757991,F,3.2,2,2.666666667,3,2,2,3,4,3,2,3,3,3
73132,FrScA-S116-03,87.52968037,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74551,PhysA-S116-01,71.67083333,M,5,4.25,4,5,2,3,5,5,4,4,5,3,5
74552,AnPhA-S216-02,96.16,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76132,AnPhA-T116-01,95.3392,M,4,3,3.833333333,4,4,2,4,4,4,3,4,4,4
76133,PhysA-S116-01,93.61805556,M,4.2,3.5,3.666666667,5,4,3,4,4,4,4,4,3,4
76426,PhysA-S116-01,95.41666667,F,2.4,3.5,2.666666667,1,2,2,3,4,4,5,3,2,1
76443,OcnA-S216-01,NA,F,4.5,3.5,3.666666667,4,3,4,5,5,4,3,NA,4,4
76673,AnPhA-S216-01,92.2,F,4.2,3.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76674,AnPhA-S216-01,95.8608,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76840,AnPhA-S216-01,74.4392,M,3.933333333,3.5,3.222222222,4,2,3,4,4,2,5,4,2,2
76840,FrScA-S116-01,92.46575342,F,3.933333333,3.5,3.222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76891,OcnA-S116-01,88.91624791,F,3.8,4,3.666666667,3,4,3,5,4,5,5,4,2,3
76930,AnPhA-S116-02,81.272,F,3.4,3.5,4,4,4,3,2,3,4,4,4,4,4
76998,AnPhA-S216-01,40.2389328,F,4.2,4,4,4,4,4,5,4,4,4,4,4,4
77010,AnPhA-S116-01,73.1706672,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77067,FrScA-S216-02,NA,F,4.6,3.5,3.333333333,5,5,3,5,4,1,4,5,4,4
77141,FrScA-S216-02,82.27990971,F,5,3.5,4,5,4,3,5,5,4,4,5,4,5
77169,BioA-S116-01,93.8172043,M,4.6,3.5,4.666666667,5,5,3,4,4,5,4,5,4,5
77190,FrScA-S216-01,92.43792325,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77246,FrScA-S116-01,88.35616438,F,3.4,2,4,4,4,2,2,4,4,2,4,4,3
77298,FrScA-S116-02,75.46118721,F,4.8,2.5,3.333333333,4,3,2,5,5,4,3,5,3,5
77976,FrScA-S116-03,90.59589041,F,4.4,3.5,3,5,3,4,5,4,3,5,5,4,5
77980,FrScA-S216-02,93.00225734,M,3.2,3,3,4,3,2,2,4,3,4,4,3,2
78000,FrScA-S216-01,91.4221219,F,4.8,5,3,5,NA,5,5,5,4,5,5,2,4
78002,OcnA-S216-02,63.98324958,F,3,3.5,4.333333333,3,4,4,3,4,5,3,NA,4,2
78153,PhysA-S216-01,99.02777778,F,4.4,3.5,4.333333333,4,4,3,5,4,5,4,5,4,4
78164,AnPhA-S216-01,76.104,M,5,3.5,4,5,5,4,5,5,4,3,5,3,5
78241,OcnA-S216-02,57.24958124,F,5,4,4.666666667,5,4,3,5,5,5,5,5,5,5
78691,FrScA-S116-03,92.92237443,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79128,PhysA-S116-01,96.40972222,F,4,3,4.333333333,4,3,2,5,4,5,4,4,5,3
79220,AnPhA-S116-02,91.8208,F,4,3,2.333333333,4,2,2,4,4,3,4,4,2,4
79352,PhysA-S116-01,95.48611111,M,5,4,5,5,5,3,5,5,5,5,5,5,5
79596,PhysA-S116-01,90.97222222,F,4,3,3.333333333,4,3,2,5,4,4,4,4,3,3
79859,AnPhA-T116-01,72.992,F,4,3,4.333333333,3,4,3,4,4,5,3,5,4,4
79893,OcnA-T116-01,94.46566164,M,4,4,4,4,4,4,4,4,4,4,4,4,4
80822,OcnA-S216-01,90.94639866,F,5,4,5,5,5,4,5,5,5,4,5,5,5
84632,PhysA-T116-01,97.63888889,F,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA
84640,AnPhA-T116-01,86.1648,F,4,3.5,3.333333333,4,4,3,4,4,4,4,4,2,4
84641,AnPhA-T116-01,83.5525328,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84645,OcnA-T116-01,22.680067,F,5,5,5,5,5,5,5,5,5,5,5,5,5
84684,OcnA-T116-01,90.80569514,M,4.125,3.666666667,3,4,2,3,3,4,NA,NA,NA,NA,NA
84685,OcnA-T116-01,82.0318258,M,3.8,3.5,4,4,4,3,3,4,4,4,4,4,4
84749,AnPhA-T116-01,82.552,M,4,3,4,5,4,4,2,4,4,2,5,4,4
84757,AnPhA-T116-01,85.3376,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84794,BioA-T116-01,73.81827957,M,5,4.5,5,5,5,5,5,5,5,4,5,5,5
84932,OcnA-S216-01,88.30318258,F,4.2,4,4,4,4,4,5,4,5,4,4,3,4
85123,FrScA-S216-01,81.71557562,F,4.333333333,3,4,5,4,3,4,4,NA,NA,NA,NA,NA
85248,AnPhA-S216-01,94.8261328,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85249,AnPhA-S116-01,86.8912,F,4.4,3.5,2.666666667,4,2,3,5,5,3,4,5,3,3
85258,FrScA-S116-02,NA,F,5,3.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85258,FrScA-S216-01,89.05191874,F,5,3.5,4,5,5,4,5,5,4,3,5,3,5
85287,FrScA-S216-01,93.67945824,F,4.1,3.666666667,4.333333333,5,4,4,4,5,5,NA,5,4,4
85292,BioA-S116-01,93.34946237,F,4,3.5,4,4,4,3,4,4,4,4,4,4,4
85323,FrScA-S116-01,15.06849315,F,3.4,2.75,3.333333333,3,3,2,2,2,4,3,3,2,3
85348,FrScA-S216-03,76.29464286,M,3,2.5,3,3,3,3,3,3,3,2,3,3,3
85355,OcnA-S116-01,17.22278057,F,5,4,5,5,5,3,5,5,5,5,5,5,5
85390,PhysA-S116-01,3.055555556,F,4.8,4.5,4.5,5,NA,4,5,5,4,5,5,5,4
85410,OcnA-S116-02,93.9279732,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85411,AnPhA-S116-01,90.9157328,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85416,FrScA-S116-01,94.74885845,F,4,2.5,4,4,4,2,4,4,4,3,4,4,4
85431,FrScA-S116-01,92.92237443,F,4.8,4,4,5,3,4,4,5,5,4,5,4,5
85432,FrScA-S116-01,49.08675799,F,5,4,4.666666667,5,5,4,5,5,5,4,5,4,5
85433,FrScA-S116-01,72.14611872,F,4.1,3.5,4.333333333,3,4,2,3,3,4,3,3,4,4
85443,FrScA-S116-01,86.30136986,F,4.8,3.5,3.666666667,5,4,4,5,4,5,3,5,2,5
85482,OcnA-S116-02,79.49916248,M,5,5,5,5,5,5,NA,5,5,5,5,5,5
85487,OcnA-S116-02,NA,M,4,4,4,4,3,4,4,4,4,4,4,5,4
85522,PhysA-S116-01,98.05555556,F,3.6,2.5,2.666666667,3,2,2,4,3,3,3,4,3,4
85539,FrScA-S116-01,90.1826484,M,3.8,3.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85567,FrScA-S116-02,65.17808219,M,3.8,3,3.666666667,4,4,3,4,4,4,3,4,3,3
85573,FrScA-S116-03,71.25114155,M,4.7,4.75,4.666666667,5,5,5,5,5,5,5,5,5,5
85574,FrScA-S116-03,96.60502283,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85579,FrScA-S116-01,96.34703196,F,5,3,3,5,1,3,5,5,5,3,5,3,5
85583,AnPhA-S116-01,91.6549328,F,4.4,4.25,3,4,3,3,4,4,4,4,4,3,4
85583,FrScA-S216-01,83.06997743,M,4.4,4.25,3,5,2,5,5,5,3,5,5,3,4
85642,FrScA-S216-01,83.74717833,M,4.6,3.5,3.666666667,5,3,4,5,4,4,3,4,4,5
85644,FrScA-S216-01,84.98871332,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85644,OcnA-S116-01,79.09715243,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85649,FrScA-S116-01,86.98630137,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85650,FrScA-S116-01,100,F,4,3,3.666666667,4,3,2,4,4,4,4,4,4,4
85651,FrScA-S116-01,64.98858447,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85659,FrScA-S116-01,NA,M,4.2,4,3.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85659,FrScA-S216-01,67.72009029,F,4.2,4,3.666666667,4,3,3,5,4,5,5,5,3,3
85661,FrScA-S116-02,87.19863014,M,5,4,3.666666667,5,3,4,5,5,5,4,5,3,5
85662,FrScA-S116-01,NA,F,4.7,4.25,3.5,5,4,4,5,4,3,5,5,4,4
85663,FrScA-S116-01,49.31506849,F,5,4,4,5,4,4,5,5,4,4,5,4,5
85665,FrScA-S116-01,96.80365297,F,3.6,3,3,4,2,2,3,4,4,4,4,3,3
85668,FrScA-S116-01,42.69406393,F,2.8,2.5,3.333333333,3,4,2,3,3,4,3,3,2,2
85698,FrScA-S116-02,32.5913242,F,4.2,3,3.666666667,5,4,3,5,4,4,3,3,3,4
85700,FrScA-S116-03,89.84246575,F,5,3,4,5,4,3,5,5,4,3,5,4,5
85701,FrScA-S116-03,91.4109589,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85702,FrScA-S116-03,86.52054795,F,5,5,5,5,5,5,5,5,5,5,5,5,5
85704,FrScA-S116-03,68.26484018,M,2.8,3,3.333333333,3,4,2,3,3,4,4,3,2,2
85791,FrScA-S116-01,96.80365297,M,3,3,2.666666667,3,3,3,3,4,3,3,3,2,2
85792,FrScA-S116-01,89.49771689,M,4.2,3,4,4,4,3,4,4,5,3,5,3,4
85796,FrScA-S216-01,91.19638826,M,4.2,3.5,3.666666667,4,4,3,5,4,4,4,4,3,4
85865,AnPhA-S116-01,52.1712,F,4.6,4.5,4.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85866,AnPhA-S116-01,75.1296,M,2.4,2.5,3,3,3,3,2,2,4,2,3,2,2
85867,FrScA-S216-04,86.20767494,F,4.4,3,3.333333333,5,3,3,4,5,4,3,4,3,4
85889,BioA-S116-01,7.580645161,F,5,4.5,4,5,3,4,5,5,4,5,5,5,5
85891,FrScA-S116-03,85.87442922,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85929,FrScA-S116-01,85.61643836,M,4.1,3,3.166666667,5,3,3,5,4,4,3,5,3,5
85930,FrScA-S116-01,83.78995434,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85953,PhysA-S116-01,95.13888889,F,3.666666667,3.666666667,3.888888889,3,4,2,4,2,4,4,3,3,2
85962,PhysA-S116-01,85.93055556,F,3.8,3.5,3.333333333,4,3,3,4,4,4,4,4,3,3
85970,AnPhA-S116-01,81.6224,M,3.4,3,3.333333333,3,2,3,4,4,4,3,3,4,3
86002,FrScA-S216-04,91.50564334,F,5,5,5,5,5,5,5,5,5,5,5,5,5
86067,BioA-S116-01,88.78494624,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86072,AnPhA-S116-01,91.2928,M,4.2,3,3.666666667,4,4,3,4,4,4,3,5,3,4
86105,FrScA-S116-01,89.9543379,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86110,BioA-S116-01,75.11182796,F,4.8,4.5,4.333333333,5,4,4,5,4,5,5,5,4,5
86113,BioA-S116-01,75.0827957,F,4.25,3.5,3.666666667,3,3,3,3,3,3,2,3,1,4
86119,AnPhA-S116-01,71.7376,F,4.2,3.5,4,4,4,3,5,4,4,4,4,4,4
86130,BioA-S116-01,72.84946237,F,4.2,3,3.666666667,4,3,3,4,4,3,3,4,3,4
86133,OcnA-S116-02,79.11222781,M,4.6,3.5,3.333333333,5,3,3,3,5,4,4,5,3,5
86202,BioA-S116-01,45.76666667,F,4.8,3.5,3.666666667,4,3,3,5,5,5,4,5,3,5
86216,BioA-S116-01,92.94301075,F,4.8,3.5,3.666666667,5,3,4,4,5,4,3,5,4,5
86229,FrScA-S216-01,84.65011287,F,4.6,4.5,3.666666667,5,4,5,5,4,4,4,4,3,5
86240,OcnA-S216-01,71.80904523,F,3.8,3,4,3,4,3,4,4,5,3,4,3,4
86251,FrScA-S216-01,72.91196388,F,5,5,5,5,5,5,5,5,5,5,5,5,5
86267,AnPhA-S116-01,35.0608,M,5,3.5,5,5,5,3,5,5,5,4,5,5,5
86268,AnPhA-S216-01,93.5386672,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86271,FrScA-S116-01,97.26027397,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86275,AnPhA-S116-01,95.0208,F,4,3,4,4,4,3,4,4,4,3,4,4,4
